Category	Occupation	Malay	Estonian	Finnish	Hungarian	Armenian	Bengali-HF	Bengali-HP	Bengali-TF	Bengali-TP	Bengali-EF	Bengali-EP	Japanese	Turkish	Yoruba	Basque	Swahili	Chinese
Education, training, and library occupations	Archivist	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Education, training, and library occupations	College lecturer	Male	Male	Female	Female	Female	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Education, training, and library occupations	College professor	Male	Male	Female	Male	Female	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Education, training, and library occupations	College teacher	Male	Female	Male	Female	Female	?	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Education, training, and library occupations	Curators	Male	Male	Male	Female	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Education, training, and library occupations	Elementary school teacher	Male	Female	Female	Female	Female	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Education, training, and library occupations	Instructor	Male	Female	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	Neutral	Male	?
Education, training, and library occupations	Kindergarten teacher	Male	Female	Female	Female	Female	Male	Neutral	Male	Male	Female	Male	Neutral	Female	Neutral	?	Male	?
Education, training, and library occupations	Librarian	Male	Female	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Education, training, and library occupations	Library technician	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Education, training, and library occupations	Middle school teacher	Male	Female	Male	Female	Female	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Education, training, and library occupations	Museum technician	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Male	Male	Male	?	Neutral	Neutral	Male	?
Education, training, and library occupations	Postsecondary teacher	Male	Female	Male	Male	Female	?	Male	Male	Male	Female	Male	Male	?	Neutral	?	Female	?
Education, training, and library occupations	Preschool and kindergarten teachers	Male	Female	Female	Male	Female	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Education, training, and library occupations	Preschool teacher	Male	Female	Female	Female	Female	?	Neutral	Male	Male	Male	Male	Male	Female	Neutral	?	Male	?
Education, training, and library occupations	Secondary school teacher	Male	Female	Male	Female	Female	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Education, training, and library occupations	Special education teacher	Male	Female	Female	Male	Female	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Education, training, and library occupations	Teacher	Male	Female	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	Male	Neutral	?	Male	?
Education, training, and library occupations	Teacher assistant	Male	Female	Female	Female	Female	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Education, training, and library occupations	University lecturer	Male	Female	Female	Male	Female	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Education, training, and library occupations	University professor	Male	Male	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Education, training, and library occupations	University teacher	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Business and financial operations occupations	Accountant	Male	Female	Male	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Male	?	Male	?
Business and financial operations occupations	Agent	Male	Male	Female	Female	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	Male	Male	?
Business and financial operations occupations	Auditor	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Male	?
Business and financial operations occupations	Benefits analysis specialist	Male	Male	Male	Male	?	?	Neutral	?	?	Male	?	Neutral	?	Female	?
Business and financial operations occupations	Budget analyst	?	Female	?	Male	?	?	?	?	Neutral	?	?	?
Business and financial operations occupations	Business manager	Male	Male	Female	Female	Male	?	Neutral	Male	Male	Female	Male	?	?	Male	?	Male	?
Business and financial operations occupations	Business operations specialist	Male	Male	Male	Male	Male	?	Neutral	?	Male	Female	Male	Neutral	?	Neutral	Neutral	Male	?
Business and financial operations occupations	Claims adjuster	Male	Male	Male	Male	?	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Business and financial operations occupations	Claims appraiser	Male	?	Male	Male	Male	Male	Male	Male	Male	Male	Male	Neutral	?	Neutral	?	?	?
Business and financial operations occupations	Claims examiner	Male	Male	Male	?	Male	Male	Neutral	Male	Male	?	Neutral	?	?	Female	Male	?
Business and financial operations occupations	Claims investigator	Male	Male	Male	?	Male	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Female	?
Business and financial operations occupations	Compensation analysis specialist	Male	Male	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Business and financial operations occupations	Compliance officer	?	Male	?	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Female	?
Business and financial operations occupations	Convention planner	Male	Male	Male	Male	Male	?	Neutral	Male	Male	?	Male	?	Neutral	?	Male	?
Business and financial operations occupations	Cost estimator	Male	?	Male	Male	?	?	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Female	?
Business and financial operations occupations	Credit analyst	Male	Male	?	Male	Male	?	Neutral	Male	Male	Female	Male	Neutral	?	?	?	Male	?
Business and financial operations occupations	Credit counselor	Male	Male	Female	Female	Female	Male	Neutral	Male	Male	Male	Male	Neutral	?	Neutral	?	Male	?
Business and financial operations occupations	Development specialist	Male	?	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	Male	?	Neutral	?	Female	?
Business and financial operations occupations	Event planner	Male	Male	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Business and financial operations occupations	Farm products buyer	Male	Male	Male	Female	?	?	Neutral	Male	Male	?	?	?	?	?	Male	Male
Business and financial operations occupations	Farm products purchasing agent	Male	?	Male	Male	?	?	Neutral	Male	Male	?	Male	?	Neutral	?	Male	Male
Business and financial operations occupations	Financial analyst	Male	Female	Male	Male	Male	Male	Neutral	Male	Male	Female	Male	?	?	Neutral	?	Male	?
Business and financial operations occupations	Financial examiner	Male	Female	Female	Male	Male	Male	Neutral	Male	Male	Female	Male	Neutral	?	Neutral	?	Male	?
Business and financial operations occupations	Financial specialist	Male	Male	Male	Female	?	?	Neutral	Male	Male	?	Male	Neutral	?	Neutral	?	Male	?
Business and financial operations occupations	Fundraiser	Male	Female	Male	Female	?	?	Neutral	?	Male	?	Neutral	?	Male	Male
Business and financial operations occupations	Human resources worker	Male	Male	Male	Male	Male	?	Neutral	Male	Male	?	Male	Male	?	?	?	Male	Male
Business and financial operations occupations	Insurance underwriter	Male	Male	?	Female	Male	Male	?	Neutral	?	?	Neutral	Male	?
