"GT_F/A"	"GT_F/(M+F)"	"BLS_Data"
0	0	0.614
0.2727272727	0.3	0.47
0.1818181818	0.2222222222	0.47
0.3636363636	0.4	0.47
0.0909090909	0.1	0.614
0.4545454545	0.5	0.793
0.1818181818	0.2222222222	0.654
0.5454545455	0.6666666667	0.977
0.0909090909	0.1	0.795
0	0	0.73
0.2727272727	0.3	0.793
0	0	0.614
0.3636363636	0.4	0.47
0.4545454545	0.625	0.977
0.5454545455	0.6666666667	0.977
0.2727272727	0.3	0.585
0.3636363636	0.4	0.856
0.2727272727	0.3	0.654
0.3636363636	0.5	0.885
0.3636363636	0.4444444444	0.47
0	0	0.47
0.0909090909	0.1	0.47
0.1818181818	0.2	0.603
0.1818181818	0.2222222222	0.444
0.0909090909	0.1428571429	0.603
0	0	0.723
0.0909090909	0.1111111111	0.468
0.1818181818	0.2222222222	0.444
0	0	0.525
0	0	0.617
0	0	0.617
0.0909090909	0.125	0.617
0	0	0.617
0	0	0.723
0	0	0.576
0	0	0.851
0	0	0.129
0.0909090909	0.1	0.54
0.1818181818	0.2222222222	0.565
0	0	0.471
0.0909090909	0.1428571429	0.851
0	0	0.54
0	0	0.54
0.0909090909	0.1111111111	0.365
0.1818181818	0.25	0.54
0	0	0.54
0.0909090909	0.1666666667	0.773
0	0	0.721
0.0909090909	0.125	0.638
0.1818181818	0.25	0.723
0	0	0.565
0	0	0.348
0.1818181818	0.2222222222	0.423
0.0909090909	0.1	0.358
0	0	0.608
0	0	0.608
0.1818181818	0.2857142857	0.851
0	0	0.32
0	0	0.441
0.1818181818	0.25	0.374
0	0	0.374
0	0	0.558
0	0	0.584
0	0	0.584
0.0909090909	0.1111111111	0.584
0.0909090909	0.125	0.631
0.0909090909	0.1111111111	0.471
0.1818181818	0.2857142857	0.558
0	0	0.713
0.1818181818	0.2222222222	0.887
0.0909090909	0.125	0.95
0	0	0.752
0.0909090909	0.125	0.887
0	0	0.713
0.2727272727	0.375	0.859
0.1818181818	0.25	0.887
0	0	0.722
0.0909090909	0.125	0.722
0.3636363636	0.4444444444	0.801
0	0	0.722
0	0	0.602
0.1818181818	0.3333333333	0.722
0.0909090909	0.1111111111	0.722
0.2727272727	0.375	0.194
0.0909090909	0.1111111111	0.752
0	0	0.638
0.1818181818	0.25	0.638
0.0909090909	0.1	0.638
0	0	0.651
0.0909090909	0.2	0.796
0.1818181818	0.3333333333	0.722
0	0	0.574
0.1818181818	0.2857142857	0.767
0.1818181818	0.25	0.539
0.0909090909	0.1428571429	0.814
0.0909090909	0.125	0.608
0	0	0.701
0.0909090909	0.1111111111	0.701
0	0	0.722
0.0909090909	0.1111111111	0.722
0.1818181818	0.25	0.609
0.2727272727	0.3333333333	0.722
0.0909090909	0.1	0.91
0.0909090909	0.1111111111	0.91
0.0909090909	0.125	0.843
0.1818181818	0.2222222222	0.85
0.0909090909	0.125	0.752
0.0909090909	0.125	0.804
0.1818181818	0.2222222222	0.804
0.0909090909	0.125	0.368
0	0	0.368
0.0909090909	0.125	0.194
0	0	0.722
0	0	0.609
0	0	0.752
0.0909090909	0.1111111111	0.722
0.1818181818	0.2222222222	0.831
0	0	0.722
0.2727272727	0.375	0.752
0	0	0.549
0.1818181818	0.3333333333	0.379
0.0909090909	0.1	0.895
0.0909090909	0.125	0.539
0.0909090909	0.1111111111	0.843
0.1818181818	0.4	0.553
0.0909090909	0.125	0.408
0	0	0.567
0.0909090909	0.1666666667	0.567
0.0909090909	0.1428571429	0.567
0.0909090909	0.1111111111	0.859
0	0	0.722
0.1818181818	0.2857142857	0.539
0.0909090909	0.1428571429	0.722
0.0909090909	0.125	0.313
0.0909090909	0.1111111111	0.91
0	0	0.781
0.0909090909	0.125	0.468
0.0909090909	0.1428571429	0.468
