Data	Frequency (%)	12-quantile
"Google Translate Female %"	0.377821393523062	1
"Google Translate Female %"	0.276741903827282	2
"Google Translate Female %"	0.195289499509323	3
"Google Translate Female %"	0.087340529931305	4
"Google Translate Female %"	0.033366045142296	5
"Google Translate Female %"	0.019627085377821	6
"Google Translate Female %"	0.007850834151129	7
"Google Translate Female %"	0.001962708537782	8
"Google Translate Female %"	0	9
"Google Translate Female %"	0	10
"Google Translate Female %"	0	11
"Google Translate Female %"	0	12
"BLS Female Participation %"	0.184494602551521	1
"BLS Female Participation %"	0.066732090284593	2
"BLS Female Participation %"	0.10107948969578	3
"BLS Female Participation %"	0.230618253189401	4
"BLS Female Participation %"	0.052011776251227	5
"BLS Female Participation %"	0.079489695780177	6
"BLS Female Participation %"	0.056918547595682	7
"BLS Female Participation %"	0.062806673209029	8
"BLS Female Participation %"	0.055937193326791	9
"BLS Female Participation %"	0.053974484789009	10
"BLS Female Participation %"	0.039254170755643	11
"BLS Female Participation %"	0.016683022571148	12
