Expanded Occupation	Total employed (Thousands)	Women Participation (%)	Original Occupation	Category	Category Total employed (Thousands)	Category Women Participation (%)
Account collector	139	71.3	Bill and account collectors	Office and administrative support occupations	17,751	72.2
Accountant	1,804	60.3	Accountants and auditors	Business and financial operations occupations	7,574	54
Accounting clerk	1,089	88.7	Bookkeeping, accounting, and auditing clerks	Office and administrative support occupations	17,751	72.2
Actor	40	-	Actors	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Actuary	29	-	Actuaries	Computer and mathematical occupations	4,804	25.5
Adhesive bonding machine operator	6	-	Adhesive bonding machine operators and tenders	Production occupations	8,482	28.9
Adhesive bonding machine tender	6	-	Adhesive bonding machine operators and tenders	Production occupations	8,482	28.9
Administrative assistant	2,769	95	Secretaries and administrative assistants	Office and administrative support occupations	17,751	72.2
Administrative services manager	151	40.1	Administrative services managers	Management occupations	17,804	39.8
Administrative support worker	576	75.2	Office and administrative support workers, all other	Office and administrative support occupations	17,751	72.2
Advertising manager	61	52.7	Advertising and promotions managers	Management occupations	17,804	39.8
Advertising sales agent	241	50.4	Advertising sales agents	Sales and related occupations	15,815	49.1
Aerospace engineer	148	8.9	Aerospace engineers	Architecture and engineering occupations	3,224	16.2
Agent	50	44.4	Agents or business managers of artists, performers, and athletes	Business and financial operations occupations	7,574	54
Agricultural engineer	2	-	Agricultural engineers	Architecture and engineering occupations	3,224	16.2
Agricultural inspector	18	-	Agricultural inspectors	Farming, fishing, and forestry occupations	1,184	23.4
Agricultural manager	1,018	25.2	Farmers, ranchers, and other agricultural managers	Management occupations	17,804	39.8
Agricultural product sorter	110	67.1	Graders and sorters, agricultural products	Farming, fishing, and forestry occupations	1,184	23.4
Agricultural products grader	110	67.1	Graders and sorters, agricultural products	Farming, fishing, and forestry occupations	1,184	23.4
Agricultural scientist	32	-	Agricultural and food scientists	Life, physical, and social science occupations	1,431	47.4
Agricultural technician	32	-	Agricultural and food science technicians	Life, physical, and social science occupations	1,431	47.4
Agricultural worker	854	21.5	Miscellaneous agricultural workers	Farming, fishing, and forestry occupations	1,184	23.4
Air conditioning installer	448	2	Heating, air conditioning, and refrigeration mechanics and installers	Installation, maintenance, and repair occupations	4,977	4
Air conditioning mechanic	448	2	Heating, air conditioning, and refrigeration mechanics and installers	Installation, maintenance, and repair occupations	4,977	4
Air traffic controller	17	-	Air traffic controllers and airfield operations specialists	Transportation and material moving occupations	9,445	17.3
Aircraft assembler	1	-	Aircraft structure, surfaces, rigging, and systems assemblers	Production occupations	8,482	28.9
Aircraft mechanic	150	5.2	Aircraft mechanics and service technicians	Installation, maintenance, and repair occupations	4,977	4
Aircraft pilot	120	6.2	Aircraft pilots and flight engineers	Transportation and material moving occupations	9,445	17.3
Aircraft service technician	150	5.2	Aircraft mechanics and service technicians	Installation, maintenance, and repair occupations	4,977	4
Airfield operations specialist	17	-	Air traffic controllers and airfield operations specialists	Transportation and material moving occupations	9,445	17.3
Ambulance attendant	11	-	Ambulance drivers and attendants, except emergency medical technicians	Transportation and material moving occupations	9,445	17.3
Ambulance driver	11	-	Ambulance drivers and attendants, except emergency medical technicians	Transportation and material moving occupations	9,445	17.3
Amusement machine repairer	34	-	Coin, vending, and amusement machine servicers and repairers	Installation, maintenance, and repair occupations	4,977	4
Amusement machine servicer	34	-	Coin, vending, and amusement machine servicers and repairers	Installation, maintenance, and repair occupations	4,977	4
Animal breeder	2	-	Animal breeders	Farming, fishing, and forestry occupations	1,184	23.4
Animal caretaker	263	78.4	Nonfarm animal caretakers	Personal care and service occupations	5,939	76.1
Animal control worker	15	-	Animal control workers	Protective service occupations	3,113	22.3
Animal trainer	49	-	Animal trainers	Personal care and service occupations	5,939	76.1
Announcer	50	23.1	Announcers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Apparel patternmaker	3	-	Fabric and apparel patternmakers	Production occupations	8,482	28.9
Apparel worker	18	-	Textile, apparel, and furnishings workers, all other	Production occupations	8,482	28.9
Architect	253	28.6	Architects, except naval	Architecture and engineering occupations	3,224	16.2
Architectural manager	129	8.7	Architectural and engineering managers	Management occupations	17,804	39.8
Archivist	59	61.4	Archivists, curators, and museum technicians	Education, training, and library occupations	9,215	73
Artist	236	51.9	Artists and related workers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Assembler	1,033	37.7	Miscellaneous assemblers and fabricators	Production occupations	8,482	28.9
Astronomer	18	-	Astronomers and physicists	Life, physical, and social science occupations	1,431	47.4
Athlete	345	36.4	Athletes, coaches, umpires, and related workers	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Atmospheric scientist	7	-	Atmospheric and space scientists	Life, physical, and social science occupations	1,431	47.4
Audiologist	15	-	Audiologists	Healthcare practitioners and technical occupations	9,141	75
Auditing clerk	1,089	88.7	Bookkeeping, accounting, and auditing clerks	Office and administrative support occupations	17,751	72.2
Auditor	1,804	60.3	Accountants and auditors	Business and financial operations occupations	7,574	54
Authors	226	60.9	Writers and authors	Arts, design, entertainment, sports, and media occupations	3,246	46.9
Automated teller repairer	212	11.3	Computer, automated teller, and office machine repairers	Installation, maintenance, and repair occupations	4,977	4
Automotive glass installer	22	-	Automotive glass installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Automotive glass repairer	22	-	Automotive glass installers and repairers	Installation, maintenance, and repair occupations	4,977	4
Automotive mechanic	902	2.4	Automotive service technicians and mechanics	Installation, maintenance, and repair occupations	4,977	4
Automotive repairer	140	1.1	Automotive body and related repairers	Installation, maintenance, and repair occupations	4,977	4
Automotive service attendant	94	8.8	Automotive and watercraft service attendants	Transportation and material moving occupations	9,445	17.3
Automotive service technician	902	2.4	Automotive service technicians and mechanics	Installation, maintenance, and repair occupations	4,977	4
Avionics technician	9	-	Avionics technicians	Installation, maintenance, and repair occupations	4,977	4
Baggage porter	89	31.1	Baggage porters, bellhops, and concierges	Personal care and service occupations	5,939	76.1
Bailiff	408	28.5	Bailiffs, correctional officers, and jailers	Protective service occupations	3,113	22.3
Baker	215	60.1	Bakers	Production occupations	8,482	28.9
Baking machine operator	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders	Production occupations	8,482	28.9
Baking machine tender	12	-	Food and tobacco roasting, baking, and drying machine operators and tenders	Production occupations	8,482	28.9
Barber	135	15.6	Barbers	Personal care and service occupations	5,939	76.1
Bartender	417	57.3	Bartenders	Food preparation and serving related occupations	8,305	53.8
Bartender helper	334	45.9	Dining room and cafeteria attendants and bartender helpers	Food preparation and serving related occupations	8,305	53.8
Bellhop	89	31.1	Baggage porters, bellhops, and concierges	Personal care and service occupations	5,939	76.1
Bench carpenter	49	-	Cabinetmakers and bench carpenters	Production occupations	8,482	28.9
Benefits analysis specialist	59	72.3	Compensation, benefits, and job analysis specialists	Business and financial operations occupations	7,574	54
Benefits manager	16	-	Compensation and benefits managers	Management occupations	17,804	39.8
Bill collector	139	71.3	Bill and account collectors	Office and administrative support occupations	17,751	72.2
Billing clerk	473	85.9	Billing and posting clerks	Office and administrative support occupations	17,751	72.2
Biological scientist	98	54.4	Biological scientists	Life, physical, and social science occupations	1,431	47.4
Biological technician	23	-	Biological technicians	Life, physical, and social science occupations	1,431	47.4
Biomedical engineer	17	-	Biomedical engineers	Architecture and engineering occupations	3,224	16.2
Blaster	10	-	Explosives workers, ordnance handling experts, and blasters	Construction and extraction occupations	8,031	3
Blending worker	72	14	Crushing, grinding, polishing, mixing, and blending workers	Production occupations	8,482	28.9
Blockmason	166	0.7	Brickmasons, blockmasons, and stonemasons	Construction and extraction occupations	8,031	3
Boat captain	35	-	Ship and boat captains and operators	Transportation and material moving occupations	9,445	17.3
Boat operator	35	-	Ship and boat captains and operators	Transportation and material moving occupations	9,445	17.3
Boiler operator	76	3.3	Stationary engineers and boiler operators	Production occupations	8,482	28.9
Boilermaker	15	-	Boilermakers	Construction and extraction occupations	8,031	3
Bookkeeping clerk	1,089	88.7	Bookkeeping, accounting, and auditing clerks	Office and administrative support occupations	17,751	72.2
